review_id,text,category
24,"I heard a song or two and thought same o same o,but when i listened to songs like ""blue angel"",""lanna"" and 'mama"" the hair just rose off my neck.Roy is trully an amazing singer with a talent you don't find much now days.",other
364,"Just as promised, worked well for what I needed. I have some old 8mm tapes and needed a camcorder to play them back on and this fit the bill it also had the USB streaming so I can now transfer them to dvd also the shipping was quick and package great for protection.",delivery
249,"I was extremely lucky to have found this, because it is a) an import & b) limited edition...especially lucky to find just thrown in the kylie section of a Pennsylvania Borders! Ok, here it is track-by-track:1. Chocolate [Radio Edit]:While this cuts the album version of the song by one minute and two seconds, it's better. Her vocals are improved, & more of an arrangement is used. 10/102. City Games: THis extreme rarity is fabulous. Very R&B; pop. 10/103. Chocolate [Tom Middleton Cosmos Remix]: A club dub. Cool when you have so much energy in you that you have to dance it out, but not for a regular listen. 7/104. Chocolate [EMO Mix]: Woderful. A good R&B; dance mix of the song. 9/105. Love @ First Sight [Live]: A live version of the Fever hit. I usually love live sounds, but this when isn't quite up to par with the original. 8/10I still have yet to figure out how to access the video. (...)Overall great package, great mixes, great rarities.",delivery
2,"This soundtrack is my favorite music of all time, hands down. The intense sadness of ""Prisoners of Fate"" (which means all the more if you've played the game) and the hope in ""A Distant Promise"" and ""Girl who Stole the Star"" have been an important inspiration to me personally throughout my teen years. The higher energy tracks like ""Chrono Cross ~ Time's Scar~"", ""Time of the Dreamwatch"", and ""Chronomantique"" (indefinably remeniscent of Chrono Trigger) are all absolutely superb as well.This soundtrack is amazing music, probably the best of this composer's work (I haven't heard the Xenogears soundtrack, so I can't say for sure), and even if you've never played the game, it would be worth twice the price to buy it.I wish I could give it 6 stars.",pricing
51,"The first one I bought was defective. The DVD didn't work at all. I purchased it from Electronics Express and when I contacted them they were wonderful. They gave me an RMA number right away, Fedex picked it up the next day and a new one arrived 1 week later. This one is just fine. I really love the clarity of the picture. My only complaint is that in DVD mode, the sound isn't loud enough. I have it in my RV and with the A/C running, I can barely hear it. I solved the problem by running an audio out jack from the TV to the input on the RV stereo speaker system. It's very lightweight and easy to move around and store. A bonus for the RV. The remote isn't great, but it works just fine and the video/audio jacks and antenna input are easy to get to as is the DVD player. All in all, it's a great deal for the price.",product quality
424,"This movie was not an original concept. The jokes were lame, as were the performances. The writer and director disappointed the audience by using Adam Sandler, Seth Rogen and Jonah Hill as a box office draw. When in fact, it wasn't worth the money to see this film in a theatre.",pricing
173,"This is a great set of blocks. I researched different blocks for some time and found these to be the most durable, age and developmentally-appropriate, and highly-educational. $25 bucks may seem like a lot, but I think it is well worth it. I am very impressed with the quality.The size and shape of the blocks is just right. My son is 5-months old and he is able to hold the blocks perfectly in his little hands. PLUS, the blocks do not have sharp corners (like the wooden blocks also available on this site) that could hurt your little one (especially those of you with chewers!).One category that I rated this toy with only a 4 (instead of 5) is the ""fun"" factor. For younger babies that may not ""get it"" yet, this toy may not be as fun for them until they are a little bit older. My son is not yet able to fully comprehend that there are even toys inside the blocks, but then again he is only 5 months. Give him a couple of months and he'll really dig them!",product quality
1162,"this charger does not have enough power to charge my Powerbook G4 while it is running. it will show the charger indicator back and forth from battery power to charging.But when I charge while it is off, it works perfect.I had requested a replacement once and the result was still the same.",customer support
443,"Very good amount for the price. Smells nice too. However, the smell reminds me of clean laundry. I was wanting something a little different, a little younger. Still smells pretty good though. Curve smells better in the men cologne to me.",pricing
6,"This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself! I can't imagine anyone reading the whole thing--I spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another. It is most definitely bad enough to be entered into some kind of a ""worst book"" contest. I can't believe Amazon even sells this kind of thing. Maybe I can offer them my 8th grade term paper on ""To Kill a Mockingbird""--a book I am quite sure Ms. Haddon never heard of. Anyway, unless you are in a mood to send a book to someone as a joke---stay far, far away from this one!",other
